SproutLife Genome
V1

seedType : Bentline1m to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 100

Saved Organisms : 20

lifespan : 39
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 38
7, 1, -2
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
31, -2, 2
32, -10, -1
33, -9, 0

lifespan : 39
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 39
16, -1, 2
17, -7, -2
17, 1, 0
28, -8, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 39
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 39
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 41
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
31, -3, 1
32, -10, -1
38, -2, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
32, -10, -1

lifespan : 40
16, -1, 2
17, -7, -2
17, 1, 0
19, 0, 3
29, -1, 1
32, -10, -1
35, -3, 2

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 37
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1
38, -2, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 39
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
32, -10, -1

lifespan : 38
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
30, -6, 0
32, -10, -1

lifespan : 39
16, -1, 2
17, -7, -2
17, 1, 0
29, -1, 1
32, -10, -1
