SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 60
hueRange : 200

Saved Organisms : 20

lifespan : 37
13, -2, 1
24, -8, -3
28, -2, 9
29, -7, -1
29, -8, -4
29, 1, 2
31, -10, 0
31, -12, 0
33, -1, 9
36, 4, 1

lifespan : 41
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
31, -10, 0
31, -12, 0
32, 4, 2
37, 1, 0

lifespan : 37
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
32, 4, 2
33, -1, 9
37, 1, 0

lifespan : 38
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
37, 1, 0
37, -3, 4

lifespan : 38
14, 1, -2
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
32, 4, 2
33, -1, 9
37, 1, 0

lifespan : 37
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -7, -1
29, -8, -4
29, 1, 2
31, -10, 0
31, -12, 0
32, 2, -1

lifespan : 36
13, -2, 1
16, -1, 0
28, -2, 9
28, 3, 1
29, -7, -1
29, -8, -4
29, 3, 3
30, 3, 1
30, 3, 2
31, -10, 0
33, -1, 9
34, 1, -1

lifespan : 37
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
31, -10, 0
31, -12, 0
33, -1, 9

lifespan : 39
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
32, 4, 2
33, -1, 9
37, 1, 0

lifespan : 39
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
32, 4, 2
33, -1, 9
37, 1, 0
37, -3, 4

lifespan : 39
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
37, 1, 0

lifespan : 37
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -7, -1
29, -8, -4
29, 1, 2
31, -10, 0
31, -12, 0

lifespan : 38
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
37, 1, 0
38, -2, 5

lifespan : 37
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
37, 1, 0

lifespan : 40
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
37, 1, 0

lifespan : 36
13, -2, 1
21, -2, 5
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9

lifespan : 39
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9

lifespan : 40
13, -2, 1
16, -1, 0
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
37, 1, 0

lifespan : 36
13, -2, 1
21, -2, 5
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9

lifespan : 37
13, -2, 1
24, -8, -3
28, -2, 9
29, -8, -4
30, 3, 3
31, -10, 0
31, -12, 0
33, -1, 9
