SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 50
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180

Saved Organisms : 20

lifespan : 35
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 36
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 39
17, 0, -1
18, -4, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 33
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
26, 1, 3
28, -9, 1
28, -5, 0
28, 4, 2
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 34
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 32
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 36
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 31
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 35
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
28, -3, 1
29, -6, 0
29, -13, -2

lifespan : 34
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 34
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 31
16, -2, -2
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -13, -2
30, -10, 0
31, -1, -4

lifespan : 35
17, 0, -1
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 36
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 31
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
26, -4, 2
28, -9, 1
28, -5, 0
28, -5, -3
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 32
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 34
9, 0, -4
17, 0, -1
20, -1, -2
24, -6, 2
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2
31, -1, -4

lifespan : 31
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
27, 3, 4
28, -9, 1
28, -5, 0
29, -13, -2
31, -1, -4

lifespan : 35
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2

lifespan : 35
17, 0, -1
19, -4, -1
20, -1, -2
24, -6, 2
24, -1, 0
25, -9, -3
26, -7, -1
26, -5, -2
26, -9, 0
28, -9, 1
28, -5, 0
29, -6, 0
29, -13, -2
