SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 1
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 25
10, 2, 0
13, -1, 1
14, -3, -2
16, -3, 0
16, 0, 0
16, -5, 0
17, -5, -3
19, 3, -1
19, -1, 3
20, 1, 4
20, 4, -2
20, -5, 2
20, -1, 2
20, 0, 5
20, -6, -2
20, -3, 3
20, -6, 2
21, -4, 1
21, -5, -1
21, 1, -1
21, -5, 2
21, -9, -2
21, -2, -1
22, -9, -1
22, -6, 1
25, 0, 1

lifespan : 25
10, 2, 0
13, -1, 1
14, -3, -2
16, -3, 0
16, 0, 0
16, -5, 0
17, -5, -3
19, 3, -1
19, -1, 3
20, 1, 4
20, 4, -2
20, -5, 2
20, -1, 2
20, 0, 5
20, -6, -2
20, -3, 3
20, -6, 2
21, -4, 1
21, -5, -1
21, 1, -1
21, -5, 2
21, -9, -2
21, -2, -1
22, -9, -1
22, -6, 1
25, 0, 1

lifespan : 25
10, 2, 0
13, -1, 1
14, -3, -2
16, -3, 0
16, 0, 0
16, -5, 0
17, -5, -3
19, 3, -1
19, -1, 3
20, 1, 4
20, 4, -2
20, -5, 2
20, -1, 2
20, 0, 5
20, -6, -2
20, -3, 3
20, -6, 2
21, -4, 1
21, -5, -1
21, 1, -1
21, -5, 2
21, -9, -2
21, -2, -1
22, -6, 1
25, 0, 1

lifespan : 25
10, 2, 0
13, -1, 1
14, -3, -2
16, -3, 0
16, 0, 0
16, -5, 0
17, -5, -3
19, 3, -1
19, -1, 3
20, 1, 4
20, 4, -2
20, -5, 2
20, -1, 2
20, 0, 5
20, -6, -2
20, -3, 3
20, -6, 2
21, -4, 1
21, -5, -1
21, 1, -1
21, -5, 2
21, -9, -2
21, -2, -1
22, -6, 1
25, 0, 1

lifespan : 25
10, 2, 0
13, -1, 1
14, -3, -2
16, -3, 0
16, 0, 0
