SproutLife Genome
V1

seedType : R-Pentomino to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 40
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 200

Saved Organisms : 20

lifespan : 43
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -2
40, -11, 4

lifespan : 40
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -3
40, -7, -2
40, -9, -3

lifespan : 40
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
37, -3, 5
38, -10, -2
40, -7, -3
40, -7, -2

lifespan : 40
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
25, 0, -3
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -11, -4
40, -7, -3

lifespan : 41
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -3
40, -7, -2

lifespan : 40
21, -1, 5
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -3
40, -7, -2
40, -11, 4

lifespan : 40
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -3
40, -7, -2

lifespan : 41
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -3
40, -7, -2

lifespan : 42
20, -1, -3
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
25, 0, -3
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
35, -1, 0
37, -13, -2
38, -10, -2
40, -7, -3

lifespan : 40
21, -1, 5
22, -1, 4
24, -7, 2
25, -4, 1
26, 0, -2
26, -1, -4
29, -6, 1
29, -4, -1
29, -1, 2
31, -6, -1
31, -14, -1
31, -6, -4
34, -4, 7
35, -9, -3
37, -13, -2
38, -10, -2
38, -11, -4
40, -7, -3
40, -7, -2
40, -11, 4

lifespan : 40
21, -1, 5
22, -1, 4
