SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 33
minAgeToHaveChildren : 0
mutationRate : 3
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 200

Saved Organisms : 20

lifespan : 35
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
29, -2, -1
30, -1, -6
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
29, -2, -1
30, -1, -6
33, 1, -2

lifespan : 35
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
32, -13, 1
32, -12, 1
32, -4, -4

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 33
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
33, 1, -2

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
29, -2, -1
30, -1, -6
33, 1, -2

lifespan : 30
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
27, -6, -3

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
29, -2, -1
30, -1, -6
33, 1, -2

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1

lifespan : 34
21, -6, 2
23, -8, 0
26, -7, -3
27, -11, -2
27, -1, -2
29, -2, -1
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
33, 1, -2

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1

lifespan : 34
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1

lifespan : 35
21, -6, 2
24, -3, 1
26, -7, -3
27, -11, -2
27, -1, -2
27, -5, 1
29, -2, -1
33, 1, -2
