SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 35
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 60
hueRange : 200

Saved Organisms : 20

lifespan : 37
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3
33, 1, 1
36, 0, -4
36, 6, 5
37, 5, 6
37, -10, 0

lifespan : 37
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -2
33, 1, 1
33, -12, 1
35, -3, -6
36, 0, -4
37, -10, 0
37, -3, 5

lifespan : 35
17, -1, 1
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3

lifespan : 33
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3
33, 1, 1

lifespan : 35
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3

lifespan : 35
17, -1, 1
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3

lifespan : 34
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
30, -1, -6
32, -13, -3
32, -12, 0
33, 1, 1

lifespan : 36
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -2
33, 1, 1
33, -12, 1
35, -3, -6
36, 0, -4

lifespan : 37
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -2
33, 1, 1
33, -12, 1
35, -3, -6
36, 0, -4
37, -10, 0
37, -3, 5

lifespan : 37
18, -4, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3
33, 1, 1
36, 0, -4
37, 5, 6
37, -10, 0

lifespan : 35
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3
32, -12, 0
33, 1, 1

lifespan : 36
17, -1, 1
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3
36, 0, -4

lifespan : 35
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3
33, 1, 1
34, -12, -1
35, -3, 4

lifespan : 35
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3
33, 1, 1
34, -12, -1
35, -3, 4

lifespan : 35
17, -1, 1
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3
33, -10, 3
35, 0, -5

lifespan : 35
17, -1, 1
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
27, -7, -3
32, -13, -3
33, -10, 3
35, 0, -5

lifespan : 35
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3
33, 1, 1

lifespan : 35
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3

lifespan : 36
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
31, 2, 1
32, -13, -3
33, 1, 1
36, 0, -4

lifespan : 38
18, -4, -3
22, -7, -3
23, -1, 0
23, 0, 1
25, -7, 2
27, -7, -3
32, -13, -3
32, -12, 0
33, 1, 1
36, 0, -4
36, -11, 4
37, 5, 6
37, -10, 0
