SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 240
hueRange : 200

Saved Organisms : 20

lifespan : 26
3, 0, -1
7, -3, 0
10, -3, 0
15, -1, 1
16, 0, 2
17, -1, 2
17, -1, -5
19, -7, -2
19, -1, 3
20, 0, -2
20, 1, 0
21, 1, -2
21, -2, -3
25, -3, -3
25, -2, -3
26, 5, 0
26, 3, 3

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 36
10, -3, 0
15, -1, 1
16, 1, -2
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 35
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7

lifespan : 26
3, 0, -1
7, -3, 0
10, -3, 0
15, -1, 1
16, 0, 2
17, -1, 2
17, -1, -5
19, -7, -2
19, -1, 3
20, 0, -2
20, 1, 0
21, 1, -2
21, -2, -3
22, -4, 4
25, -3, -3
25, -2, -3
26, 5, 0

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 27
3, 0, -1
7, -3, 0
10, -3, 0
15, -1, 1
16, 0, 2
17, -1, 2
17, -1, -5
19, -7, -2
19, -1, 3
20, 0, -2
20, 1, 0
21, 1, -2
21, -2, -3
25, -3, -3
26, 5, 0
26, 3, 3
27, -9, -4
27, 0, 3
27, 1, 4

lifespan : 35
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7

lifespan : 35
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 36
10, -3, 0
15, -1, 1
16, 1, -2
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 35
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7

lifespan : 26
3, 0, -1
7, -3, 0
10, -3, 0
15, -1, 1
16, 0, 2
17, -1, 2
17, -1, -5
17, 2, -5
19, -7, -2
19, -1, 3
20, 0, -2
20, 1, 0
21, 1, -2
21, -2, -3
25, -3, -3
26, 5, 0
26, 3, 3

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 36
10, -3, 0
15, -1, 1
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 28
3, 0, -1
7, -3, 0
10, -3, 0
14, 1, -4
15, -1, 1
16, 0, 2
16, 1, -2
17, -1, 2
19, -7, -2
19, -1, 3
20, 0, -2
20, 1, 0
21, 1, -2
21, -2, -3
24, 1, -10
25, -3, -3
26, -3, 5
28, 0, -5

lifespan : 36
10, -3, 0
15, -1, 1
16, 1, -2
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11

lifespan : 36
10, -3, 0
15, -1, 1
16, 1, -2
20, 1, 2
20, -6, -1
22, -1, -2
22, -5, 0
22, -6, -3
22, -5, -4
24, -4, 0
25, -3, -3
34, -1, -7
36, -6, -11
