SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 20
sproutDelayedMode : false
primaryHueDegrees : 240
hueRange : 200

Saved Organisms : 20

lifespan : 72
2, 1, 0
7, 2, 0
12, -1, 3
12, -1, -2
13, 0, -1
13, -3, 1
13, -1, -4
18, -2, 4
18, -6, -1
19, 4, 0
19, -5, -3
19, -3, -2
20, 1, 4
20, 1, -2
20, -3, 2
21, -9, 0
21, -4, 3
23, -6, -4
23, -2, 3
23, -4, -1
23, 2, 4
23, -9, -2
23, -7, -2
24, -9, 0
24, -7, 0
25, -2, -4
27, -2, 3
27, -4, -4
29, 0, -1
30, -4, -4
30, -13, -2
30, -1, 8
30, -6, -1
30, -4, 0
32, -4, 0
33, -3, 3
34, -1, 4
35, 7, 2
38, -4, -2
38, -6, 4
40, -6, 5
42, 0, -3
42, -3, 2
43, 1, -2
43, -10, -3
43, -7, -8
44, -8, -2
47, -8, 1
47, -6, -2
48, -3, 1
48, -8, 6
48, -11, 5
48, -9, -2
49, -6, -1
52, 2, -2
52, 2, 4
52, -6, -2
52, -5, -2
55, -7, 5
55, -1, 12
55, 5, 9
56, 0, 0
56, -16, 0
57, -10, -5
58, 6, -2
59, 3, -3
59, -14, -9
60, -4, 0
60, 3, -5
63, 3, 8
64, -4, -6
65, -5, -1
66, -12, 3
67, -9, 3
68, -2, 10
68, 4, 3
68, -7, 3
70, -14, -10
72, 4, 3

lifespan : 68
7, 2, 0
11, 2, -2
12, -1, 3
12, -1, -2
13, 0, -1
13, -3, 1
13, -1, -4
18, 1, -3
19, 4, 0
19, -5, -3
19, -3, -2
20, 1, 4
20, 1, -2
21, -9, 0
21, -4, 3
23, -3, 0
23, -6, -4
23, 4, 2
23, -4, -1
23, 2, 4
23, -9, -2
23, -7, -2
24, -9, 0
24, -7, 0
25, -2, -4
27, -2, 3
27, -4, -4
29, 0, -1
30, -4, -4
30, -13, -2
30, -1, 8
