SproutLife Genome
V1

seedType : Bentline1m to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 2
sproutDelayedMode : false
primaryHueDegrees : 240
hueRange : 100

Saved Organisms : 20

lifespan : 31
10, -1, 0
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -6, 0
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 31
10, -1, 0
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -6, 0
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 31
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
30, -13, 0
30, 4, 0

lifespan : 31
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 31
10, -1, 0
15, 5, 0
20, -3, 4
22, -5, 1
24, 0, 2
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 32
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 31
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
17, 4, -4
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
26, -3, 5
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0

lifespan : 30
10, -1, 0
20, -3, 4
22, -5, 1
24, 0, 2
24, 0, 0
25, -4, 3
27, -6, -3
27, -1, 0
30, -13, 0
30, 4, 0
