SproutLife Genome
V1

seedType : Bentline1m to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 1
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 200

Saved Organisms : 20

lifespan : 27
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, -2
24, 6, 3
24, -4, 1
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0

lifespan : 26
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, -2
24, 6, 3
24, -4, 1
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0

lifespan : 26
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
22, 1, 1
24, 2, 6
24, 6, -2
24, 6, 3
25, 0, -10
25, 1, 0
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0
26, -4, 2

lifespan : 26
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, -2
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0
26, -4, 2

lifespan : 26
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, -2
24, 6, 3
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0
26, -4, 2

lifespan : 26
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, -2
24, 6, 3
24, -4, 1
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0

lifespan : 27
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, -2
24, 6, 3
24, -4, 1
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
25, -4, 4
25, 4, -2
25, 0, 0

lifespan : 27
3, 1, 0
15, -5, -2
15, 3, 1
16, 4, 0
16, 2, 3
16, 1, -6
17, -4, 1
18, 2, -4
18, -3, 1
18, 1, -2
19, 6, -1
22, -1, -8
22, 4, 2
24, 2, 6
24, 6, 3
25, 0, -10
25, 1, 0
25, -2, -3
25, -3, -2
25, 0, -6
