SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 4
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 30
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
19, -1, 0
20, 4, 0
20, -1, 1
21, 1, 4
22, -4, -3
23, -10, -2
26, -1, -7
27, -6, -2
28, -5, -3

lifespan : 29
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
16, -5, 0
18, -4, -3
18, 3, -2
18, 1, 4
22, -8, 0
23, -10, -2
28, -5, -3
28, 1, -1
28, -2, -3
28, 0, -6

lifespan : 29
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
16, -5, 0
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
23, -10, -2
28, -5, -3
28, 1, -1
28, -2, -3
28, 0, -6

lifespan : 29
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
22, -4, -3
23, -10, -2
23, -8, 1
27, -6, -2
27, -1, -7
28, -5, -3

lifespan : 29
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
18, -4, 0
19, -1, 0
23, -10, -2
24, -4, -4
26, -1, 3
26, -1, -7
27, 4, 4
27, -6, -2
27, -3, -3
27, -5, -4
28, -5, -3
28, 1, -1
28, 0, -13

lifespan : 29
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
23, -10, -2
26, -1, 3
26, -1, -7
28, 0, -13

lifespan : 29
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
16, -5, 0
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
23, -10, -2
27, -5, -5
28, -5, -3
28, 1, -1
28, -2, -3
28, 0, -6
28, -1, -5

lifespan : 29
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
18, -4, 0
19, -1, 0
23, -10, -2
23, -4, 0
24, -4, -4
26, -1, 3
26, -1, -7
27, 4, 4
27, -6, -2
27, -3, -3
27, -5, -4
28, -5, -3
28, 1, -1
28, 0, -13

lifespan : 30
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
22, -4, -3
23, -10, -2
26, -1, 3
27, -6, -2
28, -5, -3

lifespan : 29
12, -2, -4
12, -1, -4
15, -4, -1
16, 2, -1
16, -3, 1
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
22, -4, -3
23, -10, -2
27, -6, -2
27, -1, -11
28, -5, -3
28, -3, -4

lifespan : 30
12, -2, -4
12, -1, -4
15, -4, -1
15, -2, 2
16, 2, -1
16, -3, 1
16, -5, 0
18, -4, -3
18, 3, -2
18, 1, 4
19, -1, 0
21, -6, 0
23, -10, -2
28, -5, -3
28, 1, -1
28, -2, -3
28, 0, -6

lifespan : 29
9, 2, -1
12, -2, -4
12, -1, -4
15, -4, -1
