SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 32
minAgeToHaveChildren : 0
mutationRate : 2
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 100

Saved Organisms : 20

lifespan : 38
11, 0, 1
13, -5, 0
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
31, -13, -1
34, -12, -1
36, -7, -3

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 38
11, 0, 1
24, -6, 3
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 36
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
28, 0, -1
31, -14, -1
31, -13, -1
34, -12, -1
36, -7, -3

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
31, -13, -1
34, -12, -1
36, -7, -3

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
31, -13, -1
34, -12, -1
36, -7, -3

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
33, 3, -1
34, -12, -1

lifespan : 38
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
31, -13, -1
34, -12, -1
36, -7, -3

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
31, -13, -1
34, -12, -1
36, -7, -3

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 36
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1

lifespan : 37
11, 0, 1
24, -6, 3
24, 0, 5
28, -6, 4
28, -13, -1
28, -7, -2
28, 7, -3
31, -14, -1
34, -12, -1
