SproutLife Genome
V1

seedType : Bentline1m to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 32
minAgeToHaveChildren : 0
mutationRate : 2
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 37
9, -2, -2
11, 0, 1
15, -6, -1
18, -2, 2
21, -5, -2
22, -4, 2
22, -1, -3
24, -4, 1
24, 5, 1
24, -7, 1
25, -8, -2
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
27, 7, -3
29, 4, 1
29, -12, 0
29, 2, -3
29, 1, -1
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -7, -1
32, -6, 5
32, 3, -7
32, -7, 5
33, -5, 3
33, 1, 5
33, -4, 2
33, -2, -8
33, 0, -9
33, 5, -1
33, -8, 1

lifespan : 36
9, -2, -2
11, 0, 1
15, -6, -1
18, -2, 2
21, -5, -2
22, -4, 2
22, -1, -3
24, -4, 1
24, 5, 1
24, -7, 1
25, -8, -2
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, 1, -1
27, 7, -3
29, 4, 1
29, -12, 0
29, 2, -3
29, 1, -1
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -7, -1
32, -6, 5
32, 3, -7
32, -7, 5
33, -5, 3
33, 1, 5
33, -4, 2
33, -2, -8
33, 0, -9
33, 5, -1
33, -8, 1

lifespan : 35
8, 0, -3
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -3, 8
32, 5, -2
32, -7, -1
32, -6, 5
32, -7, 5
32, -1, -9
32, 1, 6
33, -2, -8
33, -4, 4
34, -10, -1

lifespan : 37
9, -2, -2
11, 0, 1
15, -6, -1
18, -2, 2
21, -5, -2
22, -4, 2
22, -1, -3
24, -4, 1
24, 5, 1
24, -7, 1
25, -8, -2
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
27, 7, -3
29, 4, 1
29, -12, 0
29, 2, -3
29, 1, -1
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -7, -1
32, -6, 5
32, 3, -7
32, -7, 5
33, -5, 3
33, 1, 5
33, -4, 2
33, -2, -8
33, 0, -9
33, 5, -1
33, -8, 1

lifespan : 33
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -3, 8
32, 5, -2
32, -7, -1
32, -6, 5
32, -7, 5
32, -1, -9
32, 1, 6
33, -2, -8
33, -4, 4

lifespan : 34
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -3, 8
32, 5, -2
32, -7, -1
32, -6, 5
32, -7, 5
32, -1, -9
32, 1, 6
33, -2, -8
33, -4, 4
34, -10, -1

lifespan : 35
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -3, 8
32, 5, -2
32, -7, -1
32, -6, 5
32, -7, 5
32, -1, -9
32, 1, 6
33, -2, -8
33, -4, 4
34, -10, -1

lifespan : 34
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -3, 8
32, 5, -2
32, -7, -1
32, -6, 5
32, -7, 5
32, -1, -9
32, 1, 6
33, -2, -8
33, -4, 4
34, -10, -1

lifespan : 34
8, 0, -3
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
32, 8, 1
32, 0, -10
32, -3, -11
32, -2, -5
32, -9, -3
32, -9, 3
32, -3, 8
32, 5, -2
32, -7, -1
32, -6, 5
32, -7, 5
32, -1, -9
32, 1, 6
33, -2, -8
33, -4, 4
34, -10, -1

lifespan : 33
8, 0, -3
11, 0, 1
11, 1, 2
17, -3, -2
19, -1, -6
19, -4, 0
22, -2, -5
22, -4, 2
22, 4, 2
22, 0, -2
23, 3, -2
24, -4, 1
24, 6, -1
24, -7, 1
26, 4, 2
26, -7, -3
26, -4, 3
26, -4, 0
26, -10, -3
27, -6, -2
27, -4, 3
28, -7, -3
29, 4, 1
29, -7, -4
29, -12, 0
29, 4, -2
30, 6, -3
32, 11, -1
32, 6, 0
32, 10, 1
