SproutLife Genome
V1

seedType : Bentline1 to Plus
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 4
sproutDelayedMode : false
primaryHueDegrees : 300
hueRange : 200

Saved Organisms : 20

lifespan : 27
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
25, 2, 10
25, 3, -7
25, 6, -7
25, 4, 6

lifespan : 27
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
19, -1, 4
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
22, 3, -9
24, -3, -8
24, 5, 3
24, -1, 0
25, 1, -6
26, -3, 5
26, 8, -2

lifespan : 25
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
24, -4, 6
25, 2, 10
25, 1, -6
25, 3, -7

lifespan : 25
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
25, 2, 10
25, 1, -6
25, 3, -7

lifespan : 25
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
25, 2, 10
25, 1, -6
25, 3, -7

lifespan : 26
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
25, 2, 10
25, 3, -7

lifespan : 25
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
19, -1, 4
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
24, -3, -8
24, 5, 3
25, 1, -6
25, 7, -1

lifespan : 24
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4

lifespan : 25
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
15, 1, 3
15, 1, -5
18, 3, -3
18, 3, -4
19, 1, 2
19, -1, 4
20, 3, 8
20, 4, -3
20, -2, 4
20, 3, -5
22, 4, 2
22, 4, -5
22, -2, -4
24, -3, -8
24, 5, 3
25, 2, 10
25, 1, -6
25, 3, -7
25, 7, -1

lifespan : 26
3, 2, 0
9, -1, -1
12, -2, -3
13, 1, 3
14, -2, -3
15, 1, 3
15, 1, -5
18, 3, -3
19, 1, 2
20, 3, 8
20, 4, -3
