SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 8
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 22
5, 0, 1
6, 2, 0
8, 0, -2
12, -3, -1
13, 2, -3
14, -3, 0
15, -1, -1
15, -3, -4
17, -3, -3
18, 1, -7
19, -1, -6
19, -3, 3
19, 1, -2
20, 2, 2
20, 3, -1
20, 4, -5
20, -8, -4
20, -1, -3
21, 6, 2
21, 2, 0
22, 8, -2
22, 8, 0
22, 5, 3
22, 7, -3

lifespan : 24
5, 0, 1
6, 2, 0
8, 0, -2
12, -3, -1
13, 2, -3
14, 0, -6
14, -3, 0
15, -3, -4
15, -1, -1
19, -1, -6
21, 6, 2
21, 5, -3
21, -1, 0
22, 8, -2
22, 8, 0
22, 5, 3
22, 7, -3
22, 4, -6
22, -5, -1

lifespan : 22
5, 0, 1
6, 2, 0
8, 0, -2
12, -3, -1
13, 2, -3
14, -3, 0
15, -1, -1
15, -3, -4
18, 4, -1
19, -1, -6
19, -3, 3
20, 2, 2
20, 3, -1
20, 4, -5
20, -8, -4
20, -1, -3
20, -1, -8
21, 6, 2
21, 5, -3
21, 2, 0
22, 8, -2
22, 8, 0
22, 7, -3

lifespan : 21
5, 0, 1
6, 2, 0
8, 0, -2
12, -3, -1
13, 2, -3
14, -3, 0
15, -1, -1
15, -3, -4
17, -3, -3
18, 1, -7
19, -1, -6
19, -3, 3
20, 3, -1
20, 4, -5
20, -8, -4
20, -1, -3
21, 6, 2
21, -1, -7
21, 5, -3
21, 2, 0

lifespan : 23
5, 0, 1
6, 2, 0
8, 0, -2
12, -3, -1
13, 2, -3
14, -3, 0
15, -1, -1
15, -3, -4
17, -3, -3
18, 1, -7
19, -1, -6
19, -3, 3
20, 3, -1
20, 4, -5
20, -8, -4
20, -1, -3
21, 6, 2
21, -1, -7
21, 5, -3
21, 2, 0
22, 8, -2
