SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 8
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
17, 5, 0
18, 5, 0
19, -4, -1
19, 2, -4
20, -1, -5
20, 2, -1
21, -4, -1
21, 1, -7
21, -1, 2
22, 0, 6
22, 7, 0
22, -3, -6
22, -2, 2
22, -2, -7

lifespan : 20
3, -1, -2
5, -1, -1
8, 1, -2
8, -2, 0
14, 2, -4
14, -3, -3
14, 0, 5
16, 3, -3
17, 5, 0
17, 6, -1
18, 5, 0
18, 4, -4
19, -4, -1
19, -1, -6

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
17, 5, 0
18, 4, -4
18, 2, -5
18, 5, 0
18, 5, -1
19, -4, -1
19, 7, -3
19, -2, 0
19, -1, -5
19, 3, 0
20, 2, 0
20, 6, 1
21, -4, -1
21, 1, -7

lifespan : 23
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
17, 5, 0
18, 4, -4
18, 2, -5
18, 5, 0
18, 5, -1
18, 1, 4
19, -4, -1
19, 7, -2
19, 2, -7
19, 0, 6
20, -1, -5
21, -4, -1
21, 1, -7
21, 8, -2
22, 5, 2
22, 0, 6
22, 7, 0
22, -3, -6
22, 1, 7
22, -2, -8
23, 8, 1
23, -1, 3

lifespan : 23
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
17, 5, 0
17, -1, -5
17, 2, -4
18, 4, -4
18, 0, 2
18, 5, 0
19, 2, -7
19, -4, -1
19, 7, -3
19, 3, -3
20, 6, -1
21, 1, -7
21, 5, -4
22, 5, 2
22, 0, 6
22, -3, -6
