SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 8
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
14, 2, -4
14, -1, 3
14, -3, -3
14, 2, 3
15, 4, -3
16, 2, -3
16, 3, 2
16, 0, 1
17, -1, -5
18, 5, 0
18, -2, 5
18, -1, 6
20, 5, 2
20, 7, -2

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
14, 2, -4
14, -1, 3
14, 2, 3
14, -3, -3
15, 4, -3
16, 2, -3
16, 3, 2
17, -1, -5
17, 0, 1
17, 8, -3
18, 2, -5
18, -2, 5
18, 3, -1
18, -1, 6
20, 5, 2

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
14, 2, -4
14, -1, 3
14, -3, -3
14, 2, 3
15, 4, -3
16, 2, -3
16, 3, 2
17, -1, -5
17, 8, -3
18, 2, -5
18, 5, 0
18, -2, 5
18, 3, -1
18, -1, 6
20, 7, -2
22, 5, 2
22, -3, -6
22, 2, -2
22, 3, -8
22, 5, 0

lifespan : 22
3, -1, -2
6, -2, -1
8, 1, -2
9, -1, 0
14, 2, -4
14, -1, 3
14, -3, -3
14, 2, 3
15, 4, -3
16, 2, -3
16, 3, 2
17, -1, -5
17, 8, -3
18, 2, -5
18, 5, 0
18, -2, 5
18, -1, 6
20, 5, 2
20, 8, 0
21, 3, -4
22, 5, 2
22, -3, -6
22, 4, -2
22, 2, -2
22, 3, -8
22, 5, 0

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
14, 2, -4
14, -1, 3
14, -3, -3
14, 2, 3
14, -3, 1
15, 4, -3
16, 2, -3
16, 3, 2
17, -1, -5
17, 0, 1
17, 8, -3
18, 2, -5
18, 5, 0
18, 5, 0
18, -2, 5
18, 3, -1
