SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 60
hueRange : 100

Saved Organisms : 20

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5
25, 2, -2

lifespan : 26
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
20, -3, 1
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5
26, -1, 5
26, -3, 4
26, 2, -3

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
20, -3, 1
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
20, -3, 1
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 26
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
21, 2, 4
25, -6, -4
25, -9, -2
26, -3, 4
26, 2, -3

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
20, -3, 1
22, -3, 3
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5
25, 2, -2

lifespan : 27
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
17, 3, -2
19, 3, 0
19, 0, 4
21, 2, 4
21, 3, 4
25, -6, -4
25, -9, -2
26, -3, 4
26, 2, -3
27, 3, -7
27, 5, -3

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 26
3, -1, -2
12, 5, -1
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
17, 3, -2
19, 3, 0
19, 0, 4
21, 2, 4
25, -6, -4
25, -9, -2
26, -3, 4
26, 2, -3

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 27
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
15, 2, -5
17, 3, -2
19, 3, 0
19, 0, 4
21, 2, 4
25, -6, -4
25, -9, -2
26, -3, 4
26, 2, -3
27, 3, -7
27, 5, -3

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
20, -3, 1
21, 2, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5

lifespan : 26
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5
26, -1, 5
26, -3, 4
26, 2, -3

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
17, 3, -2
19, 3, 0
19, 0, 4
21, 2, 4
23, 3, 5
25, -6, -4
25, -9, -2

lifespan : 25
3, -1, -2
13, -1, -1
14, 5, -2
14, 5, -1
15, 1, 5
15, -6, -1
15, 3, -2
19, 3, 0
19, 0, 4
20, -3, 1
25, 1, 2
25, -6, -4
25, -9, -2
25, 1, 5
