SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1
22, -3, 0
25, 4, 5
25, -3, -2

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, 3, 0
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1

lifespan : 26
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, 3, 0
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1
22, -3, 0
25, 6, -6
26, -1, 2
26, 8, -4

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1
22, -3, 0
25, -3, -2

lifespan : 26
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, 3, 0
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1
22, -3, 0
25, 1, -4
26, -1, 2
26, 5, 3
26, 8, -4

lifespan : 25
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, 3, 0
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, 3, 0
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1
22, -3, 0
25, 2, 4
25, 1, -4
25, 9, -3
25, 0, 3
25, -1, 1

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, 3, 0
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1
22, -3, 0
25, -1, 1
25, 1, -4
25, 2, 4

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
19, -3, 3
19, 2, 4
19, 4, -2
20, 5, 0
20, -2, 3
21, 2, -7
21, 6, -4
21, -4, -1

lifespan : 26
3, -1, -2
