SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 3
sproutDelayedMode : false
primaryHueDegrees : 240
hueRange : 200

Saved Organisms : 20

lifespan : 27
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
20, -3, -3
20, 5, 1
21, 7, -1
21, 7, -4
21, 2, 2
24, -5, 1
25, 1, 5

lifespan : 27
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
20, -3, -3
20, 5, 1
21, 7, -1
21, 5, 2
21, 7, -4
21, 2, 2
25, 1, 5

lifespan : 27
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
20, -3, -3
20, 5, 1
21, 7, -1
21, 5, 2
21, 7, -4
21, 2, 2
24, -5, 1
25, 1, 5

lifespan : 27
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
18, 2, 1
18, 2, -6
20, -3, -3
20, 5, 1
21, 5, 2
21, 7, -4
24, 7, -3
25, 1, 5

lifespan : 31
3, -1, -2
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
18, -4, -3
20, -3, -3
20, 5, 1
21, 5, 2
21, 7, -4
24, 7, -3
25, 1, 5
28, -2, 7
28, -2, 1
28, -1, 3
28, -2, -6
28, 11, 1
29, -1, 1
29, -6, 5
30, -6, 4
30, 7, 3
30, 3, -2
30, 9, -5
31, -10, -3
31, -5, 5
31, -7, -5
31, 6, 1
31, 8, -4
31, 0, 2

lifespan : 26
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
19, 0, -7
19, 4, -1
19, 1, -6
20, -3, -3
20, 5, 1
21, 7, -1
21, 5, 2
21, 7, -4
25, 1, 5
26, 7, 1
26, -1, -7

lifespan : 27
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
20, -3, -3
20, 5, 1
21, 7, -1
21, 5, 2
21, 7, -4
21, 2, 2
24, -5, 1
25, 1, 5

lifespan : 26
3, -1, -2
5, -1, -1
8, 0, -3
11, 0, -4
12, 1, -4
15, -2, -1
15, 2, -4
15, 2, -3
17, -3, 0
17, -1, 4
17, -4, -2
17, -2, -6
18, 2, 1
18, 2, -6
19, 0, -7
19, 4, -1
19, 1, -6
20, -3, -3
20, 5, 1
21, 7, -1
21, 5, 2
21, 7, -4
26, 7, 1
26, -1, -7

lifespan : 26
3, -1, -2
