SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 5
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 27
3, -1, -2
5, -2, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, 3, -3
15, -2, -5
16, 4, -2
16, 0, -3
16, -2, 0
17, 4, -4
17, -1, -6
17, 3, -3
17, 4, 2
18, 0, -5
20, -4, 2
20, 0, -6
20, 1, -3
20, -1, -6
21, -2, -6
21, -3, 2
23, -4, 1
23, 5, -4
24, -1, -4
24, 0, -5
24, 4, -8
25, 10, -2
25, -4, -5
25, 1, -3
25, -3, 4
25, -4, -7
26, -1, -7
26, 1, -10
26, -5, 0
26, -7, 0
26, -4, -4
26, 0, -3
26, -3, -5
27, 0, -10
27, 5, 1
27, 6, 0
27, 5, 0
27, 1, -10
27, 6, -1
27, -5, -5
27, -1, -9
27, 9, 1

lifespan : 26
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
20, -4, 2
20, -5, 0
22, -4, 3
22, 6, -1
22, 1, -8
22, -2, -2
22, 3, -6
23, 6, 3
23, 7, -1
23, -5, 2
23, -7, -4
25, -6, 3
25, -1, -3
26, -2, -4

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
17, -1, 1
17, 4, 2
17, 4, -4
17, -1, -6
17, 4, -2
19, -5, -2
19, -4, -3
19, -5, -1
20, -4, 2
22, -4, 3
22, 3, -6
22, 6, -1
22, 1, -8
22, -2, -2
23, 6, 3
23, 7, -1
23, -5, 2
23, -1, -7
23, 3, -2
23, -5, -6
25, -6, 3
25, 4, -4
25, 10, 1

lifespan : 25
3, -1, -2
5, -2, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
16, 4, -2
16, -2, 0
16, 0, -3
17, 4, -4
17, -1, -6
17, 3, -3
17, 4, 2
18, 0, -5
20, -4, 2
20, 0, -6
20, -1, -4
20, 1, -3
20, -1, -6
21, -2, -6
22, -3, 2
22, -3, -1
23, 5, -5
24, -3, 4
25, 10, -2
25, -4, -7
25, 1, -3

lifespan : 27
3, -1, -2
5, -2, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, 3, -3
15, -2, -5
16, 4, -2
16, 0, -3
16, -2, 0
17, 4, -4
17, -1, -6
17, 3, -3
17, 4, 2
18, 0, -5
20, -4, 2
20, 0, -6
20, 1, -3
20, -1, -6
21, -2, -6
22, -3, 2
23, -4, 1
23, 5, -4
24, -1, -4
24, 0, -5
25, 10, -2
25, -4, -5
25, 1, -3
25, -3, 4
25, -4, -7
26, -1, -7
26, 1, -10
26, -5, 0
26, -7, 0
26, -4, -4
26, 0, -3
27, 0, -10
27, 5, 1
27, 6, 0
27, 5, 0
27, 1, -10
27, 6, -1
27, -5, -5
27, -1, -9
27, 9, 1

lifespan : 23
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
