SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 5
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, -2, -2
20, 0, -7
20, 0, 6
20, -1, 4
20, 5, -1
22, 6, -1
22, -4, 3
22, 4, -4
22, 7, -1
24, -7, -1
24, 7, -4
24, -6, -5
26, -1, -2
26, -2, -8
27, -3, -8
28, -4, -5

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 0, -3
20, 0, -7
20, 0, 6
20, 4, 0
22, 6, -1
22, 1, -8
22, -4, 3
23, -5, 2
23, 7, -2
24, 4, 1
24, 1, -10
25, -6, 4
27, -3, -8
27, 9, -4

lifespan : 29
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 0, -3
20, 0, -7
20, 0, 6
20, -1, -2
21, -7, 0
22, 6, -1
22, 1, -8
22, -4, 3
23, -5, 2
24, -2, -8
25, -5, -3
27, 9, -4
27, -4, -7
27, -5, 4
27, -4, -6

lifespan : 32
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
14, 2, -4
15, -2, -5
15, 3, -3
16, -2, -1
16, 0, -4
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, -2, -2
20, 0, -7
20, 0, 6
20, -1, 4
22, 6, -1
22, 1, -8
22, -4, 3
22, 4, -4
22, 7, -1
22, 2, -2
24, -5, -5
24, -7, -1
24, 7, -4
25, -6, 4
25, 6, -1
26, -5, -6
27, -3, -8
27, 9, 1
29, 5, 2

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -4, -3
19, -5, -1
19, -2, -2
19, -5, -2
20, 0, -7
20, 0, 6
22, 6, -1
22, 1, -8
22, -4, 3
22, 4, -4
23, -4, -5
24, 2, 8
24, 7, -3
25, -6, 4
25, 7, -5
25, -3, 1
25, 1, -11
26, -5, 3
27, -3, -8
27, 9, -4
27, -7, -3
27, -3, 0

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -4, -3
19, -5, -1
