SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 5
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 26
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 0, -3
20, 0, -7
20, 0, 6
20, 4, 0
22, 6, -1
22, 1, -8
22, -4, 3
23, -5, 2
23, 7, -2
24, 4, 1
25, -6, 4
26, -3, -7
26, 9, 1

lifespan : 26
3, -1, -2
5, -1, -1
6, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, -2, -2
20, 0, -7
20, 0, 6
20, -1, 4
21, 7, -1
22, 6, -1
22, 1, -8
22, -4, 3
22, 4, -4
24, -5, -5
24, 7, -4
25, -6, 4
25, 6, -1
26, 10, -3

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 0, -3
20, 0, -7
20, 0, 6
20, 4, 0
22, 6, -1
22, 1, -8
22, -4, 3
23, -5, 2
23, 7, -2
24, 1, -10
25, -6, 4
25, 1, -2
27, -3, -8
27, 9, -4

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, -2, -2
20, 0, -7
20, 0, 6
20, -1, 4
22, 6, -1
22, 1, -8
22, -4, 3
22, 7, -1
24, -7, -1
24, 7, -4
24, -5, -4
25, -8, 0
27, -3, -8
27, -7, -3
27, 9, -4
27, 9, 1
27, -1, -2
28, -1, -9
29, 5, 2

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 0, -3
20, 0, -7
20, 0, 6
20, 4, 0
22, 6, -1
22, 1, -8
22, -4, 3
23, -5, 2
23, 7, -2
24, 4, 1
24, 1, -10
24, -4, 0
25, -6, 4
27, -3, -8
27, 9, -4

lifespan : 26
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
18, -4, 1
19, -5, -2
19, -4, -3
19, -5, -1
19, -2, -2
