SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 5
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -4
17, 4, -2
19, -5, -1
19, -4, -3
19, -5, -2
20, 1, -7
20, 0, 6
20, -1, 4
20, 4, 0
20, -2, -2
20, 4, -1
22, -4, 3
22, -7, -2
22, -1, -5
23, -3, -7
23, 3, -4
24, -2, -7
25, 7, -3
26, 7, 4
27, -1, -5
27, -7, 3
27, 7, -2
27, -3, 3

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -4
17, 4, -2
19, -5, -1
19, -5, -2
20, 1, -7
20, 0, 6
20, -1, 4
20, 4, 0
20, -2, -2
20, 4, -1
22, -4, 3
22, -7, -2
22, -1, -5
22, -2, -1
23, -3, -7
24, -2, -7
25, -3, -6
26, -4, 1
27, -1, -5
27, -7, 3
27, 7, -2

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -4
17, 4, -2
19, -5, -1
19, -4, -3
19, -5, -2
20, 1, -7
20, 0, 6
20, -1, 4
20, 4, 0
20, -2, -2
20, 4, -1
22, -4, 3
22, -7, -2
22, -1, -5
23, -3, -7
23, 3, -4
24, -2, -7
25, 7, -3
26, 7, 4
27, -1, -5
27, -7, 3
27, 7, -2
27, -3, 3

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -4
17, 4, -2
19, -5, -1
19, -4, -3
19, -5, -2
20, 1, -7
20, 0, 6
20, -1, 4
20, 4, 0
20, -2, -2
20, 4, -1
22, -4, 3
22, -7, -2
22, -1, -5
23, -3, -7
23, 3, -4
24, -2, -7
25, 7, -3
26, 7, 4
27, -1, -5
27, -7, 3
27, 7, -2
27, -3, 3

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -4
17, 4, -2
19, -5, -1
19, -4, -3
19, -5, -2
20, 1, -7
20, 0, 6
20, -1, 4
20, 4, 0
20, -2, -2
20, 4, -1
22, -4, 3
22, -7, -2
22, -1, -5
23, -3, -7
23, 3, -4
24, -2, -7
25, 7, 4
27, -1, -5
27, -7, 3
27, 7, -2
27, -3, 3
27, -6, -1

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
16, -2, -2
