SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 300
hueRange : 200

Saved Organisms : 20

lifespan : 31
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, 9, 2
30, -10, -2
30, -9, -5
30, -12, -1
30, 0, 3
31, 11, 1
31, 9, 4

lifespan : 32
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, 9, 2
30, -10, -2
30, -7, -5
30, -9, -5
30, -12, -1
31, 11, 1
31, 9, 4
31, -9, -3
32, -12, -3
32, 7, -1
32, 1, -5
32, -1, 6
32, -2, 7
32, 10, 2
32, -11, 1

lifespan : 31
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, -10, -2
30, -7, -5
30, -9, -5
30, -12, -1
30, 9, -3
31, 11, 1
31, 9, 4

lifespan : 31
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, -10, -2
30, -7, -5
30, -9, -5
30, -12, -1
30, -4, -7
31, 11, 1
31, 9, 4
31, -9, -3
31, -4, -7

lifespan : 31
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, 9, 2
30, -10, -2
30, -7, -5
30, -9, -5
30, -12, -1
30, 0, 3
31, 11, 1
31, 9, 4
31, -9, -4

lifespan : 31
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, 9, 2
30, -10, -2
30, -9, -5
30, -12, -1
30, 0, 3
31, 11, 1
31, 9, 4

lifespan : 31
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, -5, -2
19, 3, -3
20, 5, -4
20, -6, 1
20, -2, -1
23, 7, -2
23, 2, -2
24, -7, -2
25, 1, 5
25, 3, -1
25, -1, -1
26, -4, 2
27, -5, -6
29, 11, -3
30, 9, 2
30, -10, -2
30, -7, -5
30, -9, -5
30, -12, -1
30, 0, 3
