SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 33
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
22, -4, -5
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, 0, 5
30, -9, 3

lifespan : 29
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7

lifespan : 30
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, -8, 3
30, -9, -2

lifespan : 30
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, 0, 5
30, -8, 3
30, -9, -2

lifespan : 30
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, 0, 5
30, -8, 3
30, -9, -2

lifespan : 30
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, 0, 5
30, -8, 3
30, -9, -2

lifespan : 31
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, 0, 5
30, -8, 3
30, -9, -2

lifespan : 30
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
22, -4, -5
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
30, -7, 4
30, -3, 6
30, -7, 5
30, -5, -5
30, 0, 5
30, -9, 3

lifespan : 30
18, -4, -3
20, 2, 1
21, -5, -5
22, -2, 3
22, -6, -3
22, -1, 1
22, 1, 1
24, -3, -5
24, -5, -5
24, -6, 2
24, -4, 2
26, -2, -5
26, -5, 1
28, -12, -1
28, 0, 5
28, -5, -7
