SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 33
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 33
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0
34, -7, -6

lifespan : 33
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0
33, -8, 0

lifespan : 35
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
27, 1, 4
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0
34, -7, -6

lifespan : 33
5, -1, 1
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0

lifespan : 33
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, -1, 0

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0
33, -8, 0
34, -7, -6

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, -1, 0
34, -7, -6

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0
33, -8, 0
34, -7, -6

lifespan : 33
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, 1, -3
31, -1, 0
33, -8, 0

lifespan : 33
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, -2, -3
31, 1, -3
31, -1, 0

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
21, -6, -3
24, 2, 4
24, -9, -2
25, -7, 3
26, -3, -5
26, -5, -2
27, -3, 0
31, 0, -2
31, 4, 0
31, -8, -5
31, 1, -3
31, -1, 0
33, -8, 0
34, -7, -6

lifespan : 35
18, -4, -3
18, -5, -1
