SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 33
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
26, 1, 2
27, 0, 4
27, 3, 3
29, -6, -2
30, -8, -1
31, -2, 3
34, -6, 6

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
27, 0, 4
27, 3, 3
29, -6, -2
31, -2, 3
32, 7, 2
34, 1, 8

lifespan : 35
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
26, 1, 2
27, 0, 4
27, 3, 3
29, -6, -2
30, -8, -1
31, -2, 3
34, -6, 6

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
27, 3, 3
28, -3, 6
29, -6, -2
33, 0, 0
33, 3, 5

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
27, 0, 4
27, 3, 3
29, -6, -2
31, -2, 3
32, 7, 2
34, 1, 8

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
26, 1, 2
27, 0, 4
27, 3, 3
29, -6, -2
30, -8, -1
31, -2, 3
34, -6, 6

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
27, 0, 4
27, 3, 3
28, -3, 6
29, -6, -2
29, 2, 5
33, 0, 0
34, 1, -1

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
26, -1, 4
27, 0, 4
27, 3, 3
28, -3, 6
30, -8, -1
33, 0, 0
33, 1, 5

lifespan : 35
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
27, 3, 3
28, -3, 6
29, -6, -2
31, -4, 0
33, 0, 0

lifespan : 34
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
26, -3, -5
26, -11, -1
27, 3, 3
28, -3, 6
29, -6, -2
30, -8, -1
33, 0, 0

lifespan : 35
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
24, -9, -2
25, -7, 3
25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
27, 0, 4
27, 3, 3
29, -5, -3
31, -2, 3
32, 7, 2
34, 1, 8
