SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 1
sproutDelayedMode : false
primaryHueDegrees : 60
hueRange : 100

Saved Organisms : 20

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
19, 2, 0
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
26, -8, 1
27, 7, -2
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
30, 7, 3
30, 3, -2
30, 9, -5
31, -10, -3
31, -5, 5
31, -7, -5
31, 6, 1
31, 8, -4
31, -8, 2
31, 3, -5
32, -12, -3
32, -1, -2
32, -6, -6
32, -2, -5
32, 9, -4
33, 2, 9
33, 0, -4
33, -12, -2
33, -5, 4
36, 5, -2
37, -13, -3
37, -4, 2

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
19, 2, 0
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
26, -8, 1
27, 7, -2
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
30, 7, 3
30, 3, -2
30, 9, -5
31, -10, -3
31, -5, 5
31, -7, -5
31, 6, 1
31, 8, -4
31, -8, 2
31, 3, -5
32, -12, -3
32, -1, -2
32, -6, -6
32, -2, -5
32, 9, -4
33, 2, 9
33, 0, -4
33, -12, -2
33, -5, 4
36, 5, -2
37, -13, -3
37, -4, 2

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
19, 2, 0
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
26, -8, 1
27, 7, -2
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
30, 7, 3
30, 3, -2
30, 9, -5
31, -10, -3
31, -5, 5
31, -7, -5
31, 6, 1
31, 8, -4
31, -8, 2
31, 3, -5
32, -12, -3
32, -1, -2
32, -6, -6
32, -2, -5
32, 9, -4
33, 2, 9
33, 0, -4
33, -12, -2
33, -5, 4
36, 5, -2
37, -13, -3
37, -4, 2

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
19, 2, 0
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
26, -8, 1
27, 7, -2
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
30, 7, 3
30, 3, -2
30, 9, -5
31, -10, -3
31, -5, 5
31, -7, -5
