SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 28
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
22, -4, -5
23, -10, -2
25, -3, -5
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, 0
25, -4, -3
25, 1, -6
25, 1, -7
25, -6, -2
26, 8, 1
26, -1, -10
26, 0, 5
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -6, -3
27, 3, 5
28, 0, 2

lifespan : 28
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
22, -4, -5
22, -4, 3
23, -10, -2
24, -2, 4
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, 0
25, -4, -3
25, 1, -7
25, 1, 8
25, -4, -4
26, 8, 1
26, -1, -10
26, 0, 5
26, 1, 3
26, 1, 2
26, 3, 7
26, -5, 3
26, -3, 2
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -2, -8
27, -3, -2
27, 2, 3
28, -4, 1

lifespan : 28
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
22, -4, -5
23, -10, -2
25, -3, -5
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, 0
25, -4, -3
25, 1, -6
25, 1, -7
25, -6, -2
26, 8, 1
26, -1, -10
26, 0, 5
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -6, -3
28, -4, 1

lifespan : 28
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
21, 2, 1
21, 2, 3
22, -4, -5
23, -10, -2
25, -3, -5
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, 0
25, 1, -6
25, 1, -7
25, -6, -2
26, 8, 1
26, -1, -10
26, 1, 3
26, -2, -6
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -5, -6
27, -6, -3
27, -2, -8
27, -3, -2
27, 1, 3
27, -4, -5
28, -3, 3
28, -4, 1
28, -3, 4
28, -3, 0

lifespan : 29
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
22, -4, -5
23, -10, -2
25, -3, -5
25, -6, -1
25, 8, 1
25, -4, 0
25, -4, -3
25, 1, -6
25, 1, -7
25, -6, -2
25, -4, -2
26, 8, 1
26, -1, -10
26, 1, 3
26, 1, 2
26, -2, -7
26, -3, 1
26, -3, -4
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -5, -6
27, -6, -3
27, -2, -8
27, -3, -2
28, -4, 1
