SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 28
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
20, 2, -5
20, -4, 0
20, -2, 3
21, 3, 3
22, -4, -5
22, -6, 3
22, 3, -5
23, -10, -2
24, -7, -1
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, -3
25, 1, -6
25, 1, -7
25, -6, -2
25, -3, 0
25, 4, 4
25, -4, 4
26, 8, 1
26, -2, -7
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -6, -3
27, -2, -8
27, -3, -2
27, -4, 3
27, 3, -1
27, -10, -1
28, 5, -3

lifespan : 30
12, -2, -4
12, -1, -4
12, 3, -1
13, -4, -1
13, 0, 0
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
20, 2, -5
20, -4, 0
20, -2, 3
22, -4, -5
22, -6, 3
22, 3, -5
22, 1, 1
22, 3, 3
23, -10, -2
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, -3
25, 1, -6
25, 1, -7
25, -6, -2
25, -3, 0
25, 4, 4
25, -4, 4
25, -3, -5
26, 8, 1
26, -2, -7
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -6, -3
27, -2, -8
27, -3, -2
27, -4, 3
27, 3, -1
27, 6, 0

lifespan : 26
12, -2, -4
12, -1, -4
12, 3, -2
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
20, 2, -5
20, -4, 0
20, -2, 3
21, 3, 3
22, -4, -5
22, -6, 3
22, 3, -5
22, 1, 1
23, -10, -2
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, -3
25, 1, -6
25, 1, -7
25, 4, 4
25, -4, 4
25, -3, -5
25, -5, -2
26, 8, 1
26, -2, -7
26, 4, 4

lifespan : 29
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
20, 2, -5
20, -4, 0
20, -2, 3
21, 3, 3
22, -4, -5
22, -6, 3
22, 3, -5
22, 1, 1
23, -10, -2
23, -1, 4
25, -6, -1
25, 8, 1
25, -7, 2
25, -4, -3
25, 1, -6
25, 1, -7
25, -6, -2
25, -3, 0
25, 4, 4
25, -4, 4
25, -3, -5
26, 8, 1
26, -2, -7
27, 4, 4
27, 1, -13
27, 0, -13
27, 4, 1
27, -6, -3
27, -2, -8
27, -3, -2
27, -4, 3
27, 3, -1

lifespan : 29
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
18, -4, -3
19, -1, 0
19, 6, 1
19, 3, 2
20, 2, -5
20, -4, 0
20, -2, 3
22, -4, -5
22, -6, 3
22, 3, -5
22, 3, 3
