SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 27
3, -1, -2
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, -1, 0
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
20, 2, -5
20, -2, 3
21, 3, 3
21, 6, -3
21, -1, 3
21, -4, -6
21, -3, -5
22, 3, -5
22, -2, 5
22, -2, 1
22, -3, -2
24, -6, -4
24, -4, -1
24, -1, 1
27, 1, -13
27, 0, -13
27, -2, 3
27, -6, 4
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, 0, -1

lifespan : 28
3, -1, -2
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, -1, 0
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
20, 2, -5
20, -2, 3
21, 3, 3
21, 6, -3
21, -4, -6
21, -3, -5
21, -1, 4
22, 3, -5
22, -2, 5
22, -2, 1
22, -3, -2
22, -4, -3
23, -3, 1
24, -6, -4
24, 0, 0
27, 1, -13
27, 0, -13
27, -2, 3
27, -6, 4
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, 0, -1
28, 10, -2
28, 3, -2
28, 9, 0
28, -5, -6
28, -8, 3
28, -1, -5
28, 0, 6
28, 4, 2
28, 1, 0
28, -1, 2

lifespan : 29
3, -1, -2
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, -1, 0
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
20, -2, 3
21, 3, 3
21, 6, -3
21, -1, 3
21, -4, -6
21, -3, -5
21, -1, -4
22, 3, -5
22, -2, 5
22, -2, 1
23, 2, 1
23, -3, -2
24, -4, -1
24, 0, 0
26, -2, 3
27, 0, -13
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, 0, -1
27, -6, 3
28, 10, -2
28, 3, -2
28, 9, 0
28, -5, -6
28, -8, 3
28, -1, -5
28, 0, 6
28, 4, 2
28, 1, 0
28, -1, 2

lifespan : 28
3, -1, -2
12, -2, -4
12, -1, -4
12, 3, -1
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, -1, 0
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
20, 2, -5
20, -2, 3
21, 3, 3
21, 6, -3
21, -4, -6
21, -3, -5
21, 0, 3
22, 3, -5
22, -2, 5
22, -2, 1
22, -3, -2
24, -6, -4
24, -4, -4
25, -1, 4
26, -4, 0
27, 1, -13
27, 0, -13
27, -2, 3
27, -6, 4
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, 0, -1
27, 0, 0
28, 10, -2
28, 3, -2
28, 9, 0
28, -5, -6
28, -8, 3
28, -1, -5
28, 0, 6
28, 4, 2
28, 1, 0

lifespan : 27
3, -1, -2
