SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 27
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 1, -2
25, 2, 7
25, 4, -9
26, -10, -1
26, -1, -11
26, -2, -11
26, 1, 6
26, 8, 0
26, 3, 6
26, 0, 9
26, 9, -1
26, 0, -7
26, -1, 0
26, 0, -6
26, 4, -8
27, -1, 7
27, -3, 3

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
14, 0, -4
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, -3, -1
25, 2, 7
26, -10, -1
26, -1, -11
26, -2, -11
26, 8, 0
26, 3, 6
26, -6, -6
26, 9, -1
26, 0, -7
26, -1, 0
26, -4, 3
26, 3, -7

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, -3, -1
25, 1, -2
25, 2, 7
25, 4, -9
26, -10, -1
26, -1, -11
26, -2, -11
26, 1, 6
26, 8, 0
26, 3, 6
26, 0, 9
26, 9, -1
26, 0, -7
26, -1, 0
26, 0, -6

lifespan : 27
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
24, 3, -5
25, -3, -1
25, 2, 7
25, -6, 4
25, 3, -1
25, -5, 5
25, -2, -4
25, -2, -7
25, 8, 0
26, -10, -1
26, -1, -11
26, -2, -11
26, -4, -7
26, 8, 0
26, 3, 6
26, -6, -6
26, 0, 9
26, 9, -1
26, 0, -7
26, -1, 0
26, 0, -6
27, -3, -4
27, -1, 7

lifespan : 25
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 1, -2
25, 2, 7
25, 4, -9

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 0, 9
25, -5, -6
25, 1, -3
25, 1, -9
26, -10, -1
26, -1, -11
26, -2, -11
26, 1, 6
26, -4, -7
26, 1, 5
26, -1, 4
26, 2, -3
26, -3, -5
26, -2, 8
26, 0, -1
26, 4, -7
26, -4, 6
26, 0, -5
26, -1, -5

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
