SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 4
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

lifespan : 27
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, -4, -8
25, -6, 4
25, -6, 2
25, 9, -2
26, -10, -1
26, -1, -11
26, -2, -11
26, 4, -1
26, -5, 5
26, -6, 2
26, 2, 7
26, 9, -1
27, 0, -1

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
26, -10, -1
26, -2, -11
26, 0, -6

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
26, -10, -1
26, -2, -11
26, 0, -6

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
26, -10, -1
26, -2, -11
26, 0, -6

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
26, -10, -1
26, 0, -6

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
26, -10, -1
26, -2, -11
26, 0, -6

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
26, -10, -1
26, -2, -11
26, 0, -6

lifespan : 26
3, -1, -2
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, 3, 1
15, -1, -1
15, 0, 3
16, -4, -2
17, -3, -2
18, -4, 1
18, 0, 3
19, -2, 3
22, -7, -3
25, 4, -9
25, 3, 1
25, -1, 9
25, 3, -7
25, 4, -3
25, -1, 3
