SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false

Saved Organisms : 20

lifespan : 38
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5
37, -4, 7
37, 1, 0
38, -3, 4

lifespan : 37
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 0, -1
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5
36, 1, 2
37, -4, 7

lifespan : 37
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5
37, -4, 7

lifespan : 38
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 0, -1
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5
37, -4, 7
38, -3, 4

lifespan : 37
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 0, -1
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5

lifespan : 38
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 0, -1
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5
37, -4, 7
37, 4, -3
38, -3, 4

lifespan : 37
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 0, -1
33, 6, 0
33, -12, 2
33, 3, 0
34, 3, 5
37, -4, 7

lifespan : 38
14, 1, 2
20, -3, 2
22, 0, 0
28, -12, -2
28, -11, -3
28, -1, 3
29, -5, -2
29, -13, -1
29, -3, 3
30, 4, 4
30, 1, 4
31, -2, 5
33, 6, 0
